DATE,DATE_WEEK,DATE_MON,PGM_CODE,PGM_NAME,STIME,program_title,guestname,daily_corner,weekly_corner,view_radio_yn,live_yn,dau,dau_prev,dau_chg,dau_d2,dau_r7,dau_r7_prev,dau_r7_chg,dau_r30,dau_r30_prev,dau_r30_chg,new,new_prev,new_chg,new_share,react,react_prev,react_chg,react_share,react_rate,react_rate_prev,react_rate_diff,churn_rate,churn_rate_prev,churn_rate_diff,dau_1min,dau_1min_prev,dau_1min_chg,dau_10min,dau_10min_prev,dau_10min_chg,real_rate,real_rate_prev,real_rate_diff,deep_rate,deep_rate_prev,deep_rate_diff,d1_ret,d1_ret_prev,d1_ret_diff,d7_ret,d7_ret_prev,d7_ret_diff,new_d1_ret,new_d1_ret_prev,new_d1_ret_diff,new_d7_ret,new_d7_ret_prev,new_d7_ret_diff,engage_rate,engage_rate_prev,engage_rate_diff,habit_rate,habit_rate_prev,habit_rate_diff,wau,wau_prev,wau_chg,new_week,new_week_prev,new_week_chg,new_week_share,react_week,react_week_prev,react_week_chg,react_week_share,react_rate_week,react_rate_week_prev,react_rate_week_diff,churn_rate_week,churn_rate_week_prev,churn_rate_week_diff,wau_1min,wau_1min_prev,wau_1min_chg,wau_10min,wau_10min_prev,wau_10min_chg,real_rate_week,real_rate_week_prev,real_rate_week_diff,deep_rate_week,deep_rate_week_prev,deep_rate_week_diff,w1_ret,w1_ret_prev,w1_ret_diff,new_w1_ret,new_w1_ret_prev,new_w1_ret_diff,engage_rate_week,engage_rate_week_prev,engage_rate_week_diff,habit_rate_week,habit_rate_week_prev,habit_rate_week_diff,mau,mau_prev,mau_chg,new_mon,new_mon_prev,new_mon_chg,new_mon_share,react_mon,react_mon_prev,react_mon_chg,react_mon_share,react_rate_mon,react_rate_mon_prev,react_rate_mon_diff,churn_rate_mon,churn_rate_mon_prev,churn_rate_mon_diff,mau_1min,mau_1min_prev,mau_1min_chg,mau_10min,mau_10min_prev,mau_10min_chg,real_rate_mon,real_rate_mon_prev,real_rate_mon_diff,deep_rate_mon,deep_rate_mon_prev,deep_rate_mon_diff,m1_ret,m1_ret_prev,m1_ret_diff,new_m1_ret,new_m1_ret_prev,new_m1_ret_diff,engage_rate_mon,engage_rate_mon_prev,engage_rate_mon_diff,habit_rate_mon,habit_rate_mon_prev,habit_rate_mon_diff
2026/03/25,2026/03/16,2026/02/01,F00,,,,,,,,,142147,140943,0.9,142717,277240,,,523098,,,2780,3480,-20.1,2.0,31310,,,22.0,0,,,25.8,,,126755,124703,1.6,114916,111956,2.6,,,,90.7,89.8,0.9,69.24,67.48,1.8,65.56,64.71,0.9,21.20,22.01,-0.8,11.87,14.38,-2.5,2.0,2.2,-0.2,,,,280666,,,20464,,,7.3,29201,,,10.4,0,,,,,,241770,,,217484,,,,,,90.0,,,69.77,67.15,2.6,2.92,3.68,-0.8,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
2026/03/25,2026/03/16,2026/02/01,F01,딘딘의 뮤직하이,2300,,,,,,,7612,7387,3.0,7656,23158,,,64091,,,206,193,6.7,2.7,1203,,,15.8,0,,,8.8,,,6332,6164,2.7,5340,5218,2.3,,,,84.3,84.7,-0.4,44.54,43.29,1.3,38.91,37.81,1.1,13.47,9.77,3.7,4.15,5.99,-1.8,2.1,0.9,1.2,,,,23033,,,1484,,,6.4,633,,,2.7,0,,,,,,18035,,,14946,,,,,,82.9,,,44.69,41.42,3.3,0.65,1.20,-0.5,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
2026/03/25,2026/03/16,2026/02/01,F02,애프터 클럽,0100,,,,,,,4072,3948,3.1,3715,12779,,,36724,,,87,85,2.4,2.1,343,,,8.4,0,,,18.7,,,3260,3167,2.9,2794,2716,2.9,,,,85.7,85.8,-0.1,44.01,43.54,0.5,37.99,37.89,0.1,5.21,8.86,-3.6,2.35,0.00,2.4,0.5,0.4,0.1,,,,12814,,,684,,,5.3,572,,,4.5,0,,,,,,9834,,,8379,,,,,,85.2,,,44.02,40.66,3.4,0.54,0.87,-0.3,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
2026/03/25,2026/03/16,2026/02/01,F03,파워 스테이션,0300,,,,,,,3832,3517,9.0,3602,10851,,,30110,,,50,86,-41.9,1.3,444,,,11.6,0,,,16.9,,,3234,2952,9.6,2721,2473,10.0,,,,84.1,83.8,0.3,47.22,47.39,-0.2,43.47,43.08,0.4,6.17,4.35,1.8,1.16,2.04,-0.9,0.4,0.3,0.1,,,,10939,,,577,,,5.3,407,,,3.7,0,,,,,,8636,,,7232,,,,,,83.7,,,45.18,43.31,1.9,0.63,0.44,0.2,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
2026/03/25,2026/03/16,2026/02/01,F04,이인권의 펀펀투데이,0500,,,,,,,18716,18226,2.7,19057,41333,,,87494,,,153,208,-26.4,0.8,2024,,,10.8,0,,,13.6,,,16033,15469,3.6,11878,11457,3.7,,,,74.1,74.1,0.0,61.98,61.14,0.8,59.08,58.31,0.8,29.20,24.69,4.5,17.79,25.14,-7.4,1.1,1.1,0.0,,,,41868,,,1080,,,2.6,1459,,,3.5,0,,,,,,34466,,,27121,,,,,,78.7,,,62.01,59.88,2.1,3.43,4.22,-0.8,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
2026/03/25,2026/03/16,2026/02/01,F05,김영철의 파워FM,0700,,,,,,,62409,60934,2.4,61937,116451,,,217575,,,443,555,-20.2,0.7,8518,,,13.6,0,,,15.5,,,57623,56145,2.6,49338,48140,2.5,,,,85.6,85.7,-0.1,71.48,68.69,2.8,68.45,66.65,1.8,23.01,25.14,-2.1,14.23,21.41,-7.2,1.5,1.5,0.0,,,,119877,,,3176,,,2.6,6411,,,5.3,0,,,,,,106333,,,92041,,,,,,86.6,,,71.27,67.01,4.3,2.27,2.11,0.2,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
2026/03/25,2026/03/16,2026/02/01,F06,아름다운 이 아침 봉태규입니다,0900,,,,,,,43340,46070,-5.9,43090,103046,,,216133,,,443,734,-39.6,1.0,6751,,,15.6,0,,,18.0,,,39415,40570,-2.8,34339,33990,1.0,,,,87.1,83.8,3.3,61.57,60.53,1.0,54.81,58.1,-3.3,18.59,17.89,0.7,7.22,12.40,-5.2,1.1,1.9,-0.8,,,,104737,,,3395,,,3.2,6209,,,5.9,0,,,,,,90477,,,77618,,,,,,85.8,,,63.93,58.69,5.2,0.86,0.84,0.0,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
2026/03/25,2026/03/16,2026/02/01,F07,박하선의 씨네타운,1100,,,,,,,29587,28651,3.3,29399,73074,,,164009,,,305,361,-15.5,1.0,4426,,,15.0,0,,,16.7,,,26812,26013,3.1,23234,22739,2.2,,,,86.7,87.4,-0.7,58.97,57.4,1.6,56.81,54.77,2.0,15.06,15.34,-0.3,11.08,9.86,1.2,0.3,0.4,-0.1,,,,72241,,,2219,,,3.1,3655,,,5.1,0,,,,,,62777,,,53332,,,,,,85.0,,,59.66,54.30,5.4,0.18,0.55,-0.4,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
2026/03/25,2026/03/16,2026/02/01,F08,12시엔 주현영,1200,,,,,,,36788,35683,3.1,36562,91658,,,208201,,,476,578,-17.6,1.3,6038,,,16.4,0,,,18.7,,,32303,31373,3.0,27679,26970,2.6,,,,85.7,86.0,-0.3,57.45,55.23,2.2,54.7,52.26,2.4,18.93,14.70,4.2,9.86,7.69,2.2,0.9,0.8,0.1,,,,91775,,,3552,,,3.9,5296,,,5.8,0,,,,,,76936,,,63774,,,,,,82.9,,,57.96,54.44,3.5,0.72,0.67,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
2026/03/25,2026/03/16,2026/02/01,F09,두시탈출 컬투쇼,1400,,,,,,,43981,43388,1.4,45353,109159,,,240715,,,675,745,-9.4,1.5,8294,,,18.9,0,,,22.7,,,40914,40179,1.8,37079,36038,2.9,,,,90.6,89.7,0.9,57.39,55.92,1.5,55.77,54.29,1.5,16.15,16.57,-0.4,11.81,9.58,2.2,0.9,1.1,-0.2,,,,109147,,,4995,,,4.6,8118,,,7.4,0,,,,,,97647,,,86243,,,,,,88.3,,,58.98,57.20,1.8,0.75,1.06,-0.3,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
