DATE,DATE_WEEK,DATE_MON,PGM_CODE,PGM_NAME,STIME,schedule_title,guestname,daily_corner,weekly_corner,dau_today,dau_pw,dau_wow,dau_yday,wau_today,wau_pw,mau_today,mau_pw,new_today,new_pw,new_wow,new_pct,react_today,react_pw,react_wow,react_pct,react_rate,react_rate_pw,react_rate_diff,churn_rate,churn_rate_pw,churn_diff,dau_1min,dau_10min,deep_rate,deep_rate_pw,deep_rate_diff,d1_ret,d1_ret_pw,d1_diff,d7_ret,d7_ret_pw,d7_diff,new_d1_ret,new_d1_ret_pw,new_d1_diff,new_d7_ret,new_d7_ret_pw,new_d7_diff,engage_rate,engage_rate_pw,engage_diff,habit_rate,habit_rate_pw,habit_diff,dau_week,dau_week_pw,dau_week_wow,new_week,new_week_pw,new_week_wow,new_week_pct,react_week,react_week_pw,react_week_wow,react_week_pct,react_rate_week,react_rate_week_pw,react_rate_week_diff,churn_week,churn_week_pw,churn_week_diff,wau_1min,wau_10min,deep_rate_week,deep_rate_week_pw,deep_rate_week_diff,w1_ret,w1_ret_pw,w1_diff,new_w1_ret,new_w1_ret_pw,new_w1_diff,engage_week,engage_week_pw,engage_week_diff,habit_week,habit_week_pw,habit_week_diff,dau_mon,dau_mon_pw,dau_mon_wow,new_mon,new_mon_pw,new_mon_wow,new_mon_pct,react_mon,react_mon_pw,react_mon_wow,react_mon_pct,react_rate_mon,react_rate_mon_pw,react_rate_mon_diff,churn_mon,churn_mon_pw,churn_mon_diff,mau_1min,mau_10min,deep_rate_mon,deep_rate_mon_pw,deep_rate_mon_diff,m1_ret,m1_ret_pw,m1_diff,new_m1_ret,new_m1_ret_pw,new_m1_diff,engage_mon,engage_mon_pw,engage_mon_diff,habit_mon,habit_mon_pw,habit_mon_diff,dau_week_avg,dau_mon_avg,wau_mon_avg
2026/03/01,,2026/02/01,F00,,,,,,,71811,70134,2.4,85968,,,,,2365,2589,-8.7,3.3,,,,,,,,,,,59467,52285,87.9,87.9,0.0,42.36,,,44.33,,,16.16,,,7.42,,,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,118409,115782,
2026/03/01,,2026/02/01,F01,딘딘의 뮤직하이,2300,,,,,5967,6291,-5.2,5938,,,,,184,357,-48.5,3.1,,,,,,,,,,,4813,3992,82.9,83.3,-0.4,34.71,,,31.12,,,6.98,,,3.36,,,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,6953,6825,
2026/03/01,,2026/02/01,F02,애프터 클럽,0100,,,,,3631,3599,0.9,3877,,,,,98,96,2.1,2.7,,,,,,,,,,,2735,2276,83.2,83.6,-0.4,33.35,,,31.79,,,0.78,,,4.17,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,3981,3918,
2026/03/01,,2026/02/01,F03,파워 스테이션,0300,,,,,2780,2752,1.0,3194,,,,,77,54,42.6,2.8,,,,,,,,,,,2254,1918,85.1,85.2,-0.1,33.59,,,33.39,,,1.89,,,3.70,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,3308,3274,
2026/03/01,,2026/02/01,F04,이인권의 펀펀투데이,0500,,,,,7027,6768,3.8,9689,,,,,112,85,31.8,1.6,,,,,,,,,,,6000,4989,83.2,83.1,0.1,32.19,,,39.23,,,13.59,,,9.41,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,14201,13730,
2026/03/01,,2026/02/01,F05,김영철의 파워FM,0700,,,,,17376,16508,5.3,25342,,,,,278,198,40.4,1.6,,,,,,,,,,,14934,12381,82.9,82.6,0.3,29.69,,,38.8,,,8.55,,,7.58,,,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,46111,44951,
2026/03/01,,2026/02/01,F06,아름다운 이 아침 봉태규입니다,0900,,,,,22278,21301,4.6,28412,,,,,359,304,18.1,1.6,,,,,,,,,,,19271,16357,84.9,84.8,0.1,30.3,,,35.89,,,7.21,,,8.55,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,36971,36195,
2026/03/01,,2026/02/01,F07,박하선의 씨네타운,1100,,,,,14333,13911,3.0,18429,,,,,256,215,19.1,1.8,,,,,,,,,,,12472,9971,79.9,80.8,-0.9,25.07,,,29.61,,,4.38,,,5.58,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,25355,24790,
2026/03/01,,2026/02/01,F08,12시엔 주현영,1200,,,,,17007,16866,0.8,22229,,,,,377,349,8.0,2.2,,,,,,,,,,,14211,11480,80.8,80.3,0.5,24.68,,,27.43,,,8.28,,,6.02,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,31090,30440,
2026/03/01,,2026/02/01,F09,두시탈출 컬투쇼,1400,,,,,20661,20072,2.9,25795,,,,,481,499,-3.6,2.3,,,,,,,,,,,18186,15391,84.6,85.1,-0.5,25.99,,,28.35,,,8.89,,,5.61,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,37498,36380,
